trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2151758:6073473:6631162,09:00:00,09:00:00,158001,1,0,,0,0,1
2151758:6073473:6631162,09:15:00,09:20:00,158000,2,11845,,0,0,1
2151758:6073473:6631162,09:50:00,09:50:00,158002,3,51627,,0,0,1
2151760:6075381:6631162,10:30:00,10:30:00,158002,1,0,,0,0,1
2151760:6075381:6631162,11:00:00,11:15:00,158000,2,40068,,0,0,1
2151760:6075381:6631162,11:30:00,11:30:00,158001,3,51007,,0,0,1
2151759:6075484:6631060,15:15:00,15:15:00,158001,1,0,,0,0,1
2151759:6075484:6631060,15:30:00,15:40:00,158000,2,11845,,0,0,1
2151759:6075484:6631060,16:10:00,16:10:00,158002,3,51627,,0,0,1
2151761:6077659:6631060,16:15:00,16:15:00,158002,1,0,,0,0,1
2151761:6077659:6631060,16:45:00,16:45:00,158000,2,40068,,0,0,1
2151761:6077659:6631060,17:00:00,17:00:00,158001,3,51007,,0,0,1
